,,,Voting Results,,,,Batting Stats,,,,,,,,,,,,Pitching Stats,,,,,,,,,,,
Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
1,Cody Bellinger,LAD,362,19,86%,8.7,156,558,121,170,47,115,15,95,0.305,0.406,0.629,1.035,,,,,,,,,,,,
2,Christian Yelich,MIL,317,10,75%,7.1,130,489,100,161,44,97,30,80,0.329,0.429,0.671,1.1,,,,,,,,,,,,
3,Anthony Rendon,WSN,242,1,58%,7.3,146,545,117,174,34,126,5,80,0.319,0.412,0.598,1.01,,,,,,,,,,,,
4,Ketel Marte,ARI,198,0,47%,6.9,144,569,97,187,32,92,10,53,0.329,0.389,0.592,0.981,,,,,,,,,,,,
5,Ronald AcuÃ±a Jr.,ATL,155,0,37%,5.2,156,626,127,175,41,101,37,76,0.28,0.365,0.518,0.883,,,,,,,,,,,,
6,Nolan Arenado,COL,120,0,29%,7.1,155,588,102,185,41,118,3,62,0.315,0.379,0.583,0.962,,,,,,,,,,,,
7,Pete Alonso,NYM,102,0,24%,5.4,161,597,103,155,53,120,1,72,0.26,0.358,0.583,0.941,,,,,,,,,,,,
8,Freddie Freeman,ATL,90,0,21%,3.8,158,597,113,176,38,121,6,87,0.295,0.389,0.549,0.938,,,,,,,,,,,,
9,Juan Soto,WSN,45,0,11%,5.1,150,542,110,153,34,110,12,108,0.282,0.401,0.548,0.949,,,,,,,,,,,,
10,Jacob deGrom,NYM,44,0,10%,7.7,31,65,4,13,2,6,0,4,0.2,0.246,0.323,0.569,11,8,2.43,0.971,32,32,0,204,154,19,44,255
11,Josh Donaldson,ATL,27,0,6%,5.3,155,549,96,142,37,94,4,100,0.259,0.379,0.521,0.9,,,,,,,,,,,,
12,Trevor Story,COL,26,0,6%,6.9,145,588,111,173,35,85,23,58,0.294,0.363,0.554,0.917,,,,,,,,,,,,
13,Jack Flaherty,STL,9,0,2%,5.9,35,54,4,10,0,4,1,2,0.185,0.211,0.241,0.451,11,8,2.75,0.968,33,33,0,196.1,135,25,55,231
14,J.T. Realmuto,PHI,8,0,2%,4.5,145,538,92,148,25,83,9,41,0.275,0.328,0.493,0.82,,,,,,,,,,,,
15,Yasmani Grandal,MIL,4,0,1%,2.5,153,513,79,126,28,77,5,109,0.246,0.38,0.468,0.848,,,,,,,,,,,,
15,Max Muncy,LAD,4,0,1%,5.3,141,487,101,122,35,98,4,90,0.251,0.374,0.515,0.889,,,,,,,,,,,,
15,Stephen Strasburg,WSN,4,0,1%,5.9,33,72,4,12,1,10,0,3,0.167,0.2,0.222,0.422,18,6,3.32,1.038,33,33,0,209,161,24,56,251
15,Eugenio SuÃ¡rez,CIN,4,0,1%,3.5,159,575,87,156,49,103,3,70,0.271,0.358,0.572,0.93,,,,,,,,,,,,
19,Hyun Jin Ryu,LAD,3,0,1%,5.4,28,51,3,8,1,3,0,4,0.157,0.218,0.235,0.453,14,5,2.32,1.007,29,29,0,182.2,160,17,24,163
20,Paul Goldschmidt,STL,2,0,0%,2.5,161,597,97,155,34,97,3,78,0.26,0.346,0.476,0.821,,,,,,,,,,,,
20,Kolten Wong,STL,2,0,0%,5.4,148,478,61,136,11,59,24,47,0.285,0.361,0.423,0.784,,,,,,,,,,,,
22,Kevin Pillar,SFG,1,0,0%,0.6,156,595,82,157,21,87,14,18,0.264,0.293,0.442,0.735,,,,,,,,,,,,
22,Max Scherzer,WSN,1,0,0%,5.3,28,55,6,10,0,2,2,0,0.182,0.182,0.182,0.364,11,7,2.92,1.027,27,27,0,172.1,144,18,33,243
